open,high,low,close,volume,datetime,symbol
0,117.25,117.51,112.16,114.16,10480636,1420092000000,VB
1,114.38,121.46,112.85,120.78,7588161,1422770400000,VB
2,120.85,123.9,117.9101,122.56,10478832,1425189600000,VB
3,122.16,124.4,119.6484,120.06,10178882,1427864400000,VB
4,120.44,124.0,119.22,122.48,8571080,1430456400000,VB
5,123.27,125.51,120.93,121.47,8574284,1433134800000,VB
6,122.61,123.43,117.52,121.12,11727990,1435726800000,VB
7,121.15,121.855,90.03,114.06,16214175,1438405200000,VB
8,112.92,117.41,105.86,107.95,11761679,1441083600000,VB
9,107.97,115.13,106.25,114.08,9554097,1443675600000,VB
10,114.23,117.04,111.27,116.13,8343812,1446354000000,VB
11,116.75,117.09,108.381,110.64,16294573,1448949600000,VB
12,109.0,109.29,94.25,102.29,20185063,1451628000000,VB
13,101.68,104.25,93.907,103.08,14510792,1454306400000,VB
14,103.9,111.8999,103.48,111.49,12686484,1456812000000,VB
15,110.77,115.6797,108.91,113.46,9213523,1459486800000,VB
16,113.81,116.01,109.5001,115.6,12789219,1462078800000,VB
17,115.19,118.85,108.79,115.68,14629499,1464757200000,VB
18,115.73,121.86,113.731,121.47,14239643,1467349200000,VB
19,121.57,123.43,119.2873,122.29,11844644,1470027600000,VB
20,122.31,124.22,118.71,122.18,14592583,1472706000000,VB
21,121.85,122.21,116.3745,117.22,11521017,1475298000000,VB
22,117.46,128.77,114.07,127.26,16511730,1477976400000,VB
23,127.93,133.18,126.28,128.96,22018740,1480572000000,VB
24,130.3,133.0899,128.8201,130.93,15683379,1483250400000,VB
25,131.71,135.91,130.1,133.97,13946209,1485928800000,VB
26,135.48,136.3829,128.81,133.28,19209905,1488348000000,VB
27,133.41,136.3699,130.2,134.42,16083338,1491022800000,VB
28,134.79,135.35,130.457,132.93,14479483,1493614800000,VB
29,133.29,137.03,132.94,135.54,12325710,1496293200000,VB
30,136.1,139.373,134.02,137.15,10899786,1498885200000,VB
31,137.71,137.78,131.25,135.87,9634842,1501563600000,VB
32,136.08,141.49,134.511,141.32,11704575,1504242000000,VB
33,141.41,143.82,141.15,143.53,12955386,1506834000000,VB
34,144.34,148.498,140.35,147.91,9993910,1509512400000,VB
35,148.0,149.58,144.22,147.8,14771596,1512108000000,VB
36,148.33,155.86,147.8712,151.78,13662696,1514786400000,VB
37,151.48,152.57,137.8,145.77,11834014,1517464800000,VB
38,145.54,154.035,143.69,146.92,12909656,1519884000000,VB
39,146.57,152.0,142.38,147.47,9407717,1522558800000,VB
40,147.29,156.99,145.8783,154.99,12801684,1525150800000,VB
41,156.08,161.05,154.03,155.67,14612325,1527829200000,VB
42,154.84,161.44,154.42,158.5,13364734,1530421200000,VB
43,158.56,166.03,157.441,165.66,11582364,1533099600000,VB
44,165.47,165.88,161.4701,162.58,10348331,1535778000000,VB
45,163.25,163.7285,140.9,146.13,17496046,1538370000000,VB
46,146.68,152.75,141.92,149.33,11128949,1541048400000,VB
47,151.54,151.945,123.8,131.99,31453444,1543644000000,VB
48,130.31,147.6812,129.06,147.45,16421836,1546322400000,VB
49,147.8,157.08,147.2397,154.61,13815949,1549000800000,VB
50,155.82,156.56,148.87,152.8,11206398,1551420000000,VB
51,153.92,159.24,153.605,158.28,11693403,1554094800000,VB
52,158.72,159.92,146.09,146.92,13660497,1556686800000,VB
53,146.96,157.6433,146.3776,156.66,8838773,1559365200000,VB
54,158.6,160.88,156.35,158.54,9144406,1561957200000,VB
55,158.86,159.78,147.68,152.25,10337846,1564635600000,VB
56,151.17,159.19,149.71,153.89,8772263,1567314000000,VB
57,154.53,158.24,147.4922,156.43,10185310,1569906000000,VB
58,157.38,164.26,157.05,163.0,9384739,1572584400000,VB
59,163.41,166.99,159.26,165.64,12622840,1575180000000,VB
60,166.5,170.5,161.8553,162.3,21846336,1577858400000,VB
